name,position,school,season,draft_year,countable_plays,avg_ppa_all,total_ppa_all,total_ppa_pass,total_ppa_rush,career_avg_ppa,career_total_ppa,ppa_per_play,pass_ppa_share,rush_ppa_share
Kyle Williams,WR,arizona state,2017.0,2017.0,95.0,0.55,52.242,50.153,2.089,1.401,103.098,0.5499157894736841,0.9600130163470005,0.039986983652999505
Aaron Murray,QB,georgia,2013.0,2014.0,352.0,0.336,118.289,107.423,10.866,0.336,118.289,0.33604829545454545,0.9081402328196198,0.09185976718038025
Aj Mccarron,QB,alabama,2013.0,2014.0,320.0,0.295,94.326,88.052,6.274,0.295,94.326,0.29476874999999997,0.9334859953777327,0.06651400462226746
Alfred Blue,RB,lsu,2013.0,2014.0,75.0,0.038,2.884,6.479,-3.595,0.038,2.884,0.03845333333333333,1.0,0.0
Allen Robinson,WR,penn state,2013.0,2014.0,99.0,0.996,98.584,95.57,3.014,0.996,98.584,0.9957979797979798,0.9694270875598473,0.030572912440152557
Andre Williams,RB,boston college,2013.0,2014.0,323.0,-0.014,-4.485,0.0,-4.485,-0.014,-4.485,-0.01388544891640867,-0.0,1.0
Arthur Lynch,TE,georgia,2013.0,2014.0,28.0,1.144,32.036,32.036,0.0,1.144,32.036,1.1441428571428571,1.0,0.0
Austin Seferian-Jenkins,TE,washington,2013.0,2014.0,26.0,1.297,33.716,33.716,0.0,1.297,33.716,1.296769230769231,1.0,0.0
Blake Bortles,QB,ucf,2013.0,2014.0,406.0,0.387,157.155,125.959,31.196,0.387,157.155,0.38708128078817733,0.8014953389965321,0.19850466100346792
Brandin Cooks,WR,oregon state,2013.0,2014.0,142.0,0.799,113.529,108.397,5.132,0.799,113.529,0.7995,0.9547956909688274,0.04520430903117265
C.J. Fiedorowicz,TE,iowa,2013.0,2014.0,25.0,0.994,24.857,24.857,0.0,0.994,24.857,0.9942799999999999,1.0,0.0
Carlos Hyde,RB,ohio state,2013.0,2014.0,207.0,0.306,63.25,5.726,57.524,0.306,63.25,0.3055555555555556,0.0905296442687747,0.9094703557312254
Cody Latimer,WR,indiana,2013.0,2014.0,65.0,1.125,73.117,73.117,0.0,1.125,73.117,1.124876923076923,1.0,0.0
Crockett Gillmore,TE,colorado state,2013.0,2014.0,53.0,0.666,35.305,35.305,0.0,0.666,35.305,0.6661320754716981,1.0,0.0
Davante Adams,WR,fresno state,2013.0,2014.0,106.0,0.855,90.665,90.665,0.0,0.855,90.665,0.8553301886792454,1.0,0.0
De'Anthony Thomas,RB,oregon,2013.0,2014.0,109.0,0.278,30.262,20.584,9.677,0.278,30.262,0.2776330275229358,0.6801929812966757,0.3197739739607428
Derek Carr,QB,fresno state,2013.0,2014.0,602.0,0.283,170.323,158.911,11.412,0.283,170.323,0.2829285714285714,0.932997892240038,0.06700210775996196
Devin Street,WR,pittsburgh,2013.0,2014.0,54.0,0.916,49.439,51.122,-1.683,0.916,49.439,0.915537037037037,1.0,0.0
Devonta Freeman,RB,florida state,2013.0,2014.0,178.0,0.193,34.382,21.812,12.569,0.193,34.382,0.19315730337078652,0.6344017218311908,0.36556919318247927
Donte Moncrief,WR,ole miss,2013.0,2014.0,57.0,1.01,57.562,57.562,0.0,1.01,57.562,1.009859649122807,1.0,0.0
Dri Archer,RB,kent state,2013.0,2014.0,82.0,0.117,9.624,5.565,4.059,0.117,9.624,0.11736585365853659,0.5782418952618454,0.4217581047381546
Eric Ebron,TE,north carolina,2013.0,2014.0,66.0,1.115,73.588,72.241,1.347,1.115,73.588,1.114969696969697,0.9816953851171387,0.018304614882861336
Jace Amaro,TE,texas tech,2013.0,2014.0,101.0,1.023,103.296,103.296,0.0,1.023,103.296,1.0227326732673268,1.0,0.0
James White,RB,wisconsin,2013.0,2014.0,240.0,0.187,44.825,19.12,25.705,0.187,44.825,0.18677083333333336,0.42654768544339094,0.5734523145566089
Jarvis Landry,WR,lsu,2013.0,2014.0,74.0,1.287,95.23,95.23,0.0,1.287,95.23,1.286891891891892,1.0,0.0
Jeremy Gallon,WR,michigan,2013.0,2014.0,87.0,1.068,92.933,94.315,-1.382,1.068,92.933,1.0681954022988507,1.0,0.0
Jeremy Hill,RB,lsu,2013.0,2014.0,203.0,0.167,33.954,11.581,22.373,0.167,33.954,0.16726108374384238,0.3410791070271544,0.6589208929728456
Johnny Manziel,QB,texas a&m,2013.0,2014.0,496.0,0.359,178.26,130.085,48.175,0.359,178.26,0.35939516129032256,0.7297486817008865,0.27025131829911364
Jordan Matthews,WR,vanderbilt,2013.0,2014.0,121.0,0.772,93.365,90.882,2.483,0.772,93.365,0.7716115702479338,0.9734054517217374,0.026594548278262735
Josh Huff,WR,oregon,2013.0,2014.0,56.0,1.094,61.251,59.275,1.976,1.094,61.251,1.093767857142857,0.967739302215474,0.03226069778452597
Ka'Deem Carey,RB,arizona,2013.0,2014.0,356.0,0.117,41.558,12.018,29.541,0.117,41.558,0.11673595505617977,0.28918619760334957,0.7108378651523173
Keith Wenning,QB,ball state,2013.0,2014.0,489.0,0.325,158.85,153.717,5.133,0.325,158.85,0.3248466257668712,0.9676864966949954,0.03231350330500472
Kelvin Benjamin,WR,florida state,2013.0,2014.0,42.0,1.45,60.895,60.895,0.0,1.45,60.895,1.4498809523809524,1.0,0.0
Kevin Norwood,WR,alabama,2013.0,2014.0,31.0,1.372,42.531,42.531,0.0,1.372,42.531,1.3719677419354839,1.0,0.0
Logan Thomas,QB,virginia tech,2013.0,2014.0,483.0,0.231,111.505,114.49,-2.985,0.231,111.505,0.2308592132505176,1.0,0.0
Marqise Lee,WR,usc,2013.0,2014.0,57.0,0.864,49.222,49.91,-0.688,0.864,49.222,0.8635438596491228,1.0,0.0
Martavis Bryant,WR,clemson,2013.0,2014.0,36.0,1.446,52.053,52.053,0.0,1.446,52.053,1.4459166666666665,1.0,0.0
Mike Evans,WR,texas a&m,2013.0,2014.0,57.0,1.28,72.983,72.983,0.0,1.28,72.983,1.2804035087719299,1.0,0.0
Paul Richardson,WR,colorado,2013.0,2014.0,80.0,0.816,65.269,64.727,0.541,0.816,65.269,0.8158625,0.9916959046407943,0.008288774150055923
Quincy Enunwa,WR,nebraska,2013.0,2014.0,43.0,1.094,47.04,48.897,-1.857,1.094,47.04,1.093953488372093,1.0,0.0
Richard Rodgers,WR,california,2013.0,2014.0,47.0,1.036,48.693,46.398,2.295,1.036,48.693,1.0360212765957446,0.9528679687018669,0.0471320312981332
Ryan Grant,WR,tulane,2013.0,2014.0,71.0,1.097,77.862,77.862,0.0,1.097,77.862,1.0966478873239436,1.0,0.0
Sammy Watkins,WR,clemson,2013.0,2014.0,98.0,0.694,67.98,70.651,-2.671,0.694,67.98,0.6936734693877551,1.0,0.0
Tajh Boyd,QB,clemson,2013.0,2014.0,481.0,0.262,126.105,105.782,20.323,0.262,126.105,0.26217255717255716,0.8388406486657943,0.1611593513342056
Ted Bolser,TE,indiana,2013.0,2014.0,30.0,0.697,20.897,20.897,0.0,0.697,20.897,0.6965666666666667,1.0,0.0
Teddy Bridgewater,QB,louisville,2013.0,2014.0,432.0,0.47,203.22,189.808,13.412,0.47,203.22,0.47041666666666665,0.9340025588032673,0.0659974411967326
