player_name (draft/basic),draft_year (draft/basic),category (draft/basic),draft_team (draft/basic),draft_round (draft/basic),draft_pick (draft/basic),school (shared_basic),has_pre_draft,has_combine_data (combine),forty_yd_dash (combine),vertical_jump (combine),bench_press (combine),broad_jump (combine),three_cone_drill (combine),twenty_yd_shuttle (combine),has_forty_yd_dash (combine),has_vertical_jump (combine),has_bench_press (combine),has_broad_jump (combine),has_three_cone_drill (combine),has_twenty_yd_shuttle (combine),height_in (combine),weight_lb (combine),predraft_total_yards,predraft_total_tds,predraft_total_opportunities,predraft_yards_per_game_unified,predraft_tds_per_game_unified,predraft_opportunities_per_game_unified,predraft_yards_per_opportunity_unified,predraft_tds_per_opportunity_unified,avg_ppa_all (pre_draft),ppa_per_play (pre_draft),career_avg_ppa (pre_draft),career_total_ppa (pre_draft),age (post_draft),to (post_draft),games (post_draft),w_av (post_draft),dr_av (post_draft),car_av_filled (post_draft),allpro (post_draft),probowls (post_draft),hof (post_draft),seasons_started (post_draft),AV_year1 (post_draft),AV_year2 (post_draft),AV_year3 (post_draft),AV_year4 (post_draft),AV_4yr_sum (post_draft),AV_4yr_avg (post_draft),AV_4yr_avg_percentile (post_draft)
A.J. Hawk,2006,LB,gnb,1,5,ohio st.,1,1,4.59,40,24,115,6.82,3.96,1,1,1,1,1,1,73,248,0,0,0,0,0,0,,,,,,,22,2016,159,55,52,69,0,0,FALSE,10,8,8,6,7,29,7.25,0.908350305
A.J. Nicholson,2006,LB,cin,5,157,florida st.,1,1,4.88,,25,116,7.37,4.43,1,0,1,1,1,1,73,252,0,0,0,0,0,0,,,,,,,23,2006,2,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0.061099796
Aaron Merz,2006,OL,buf,7,248,california,1,0,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,23,2006,7,1,1,1,0,0,FALSE,0,1,0,0,0,1,0.25,0.204166667
Abdul Hodge,2006,LB,gnb,3,67,iowa,1,1,4.76,31,,108,7.09,4.3,1,1,0,1,1,1,72,236,0,0,0,0,0,0,,,,,,,23,2010,35,2,1,2,0,0,FALSE,0,1,0,0,1,2,0.5,0.240325866
Adam Jennings,2006,WR,atl,6,184,fresno st.,1,1,4.44,37.5,,118,6.88,4.12,1,1,0,1,1,1,69,181,297,3,25,24.75,0.25,2.083333333,11.88,0.12,,,,,23,2009,46,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0.1152513
Andrew Whitworth,2006,OL,cin,2,55,lsu,1,1,5.16,30.5,28,112,8.23,4.83,1,1,1,1,1,1,79,334,0,0,0,0,0,0,,,,,,,24,2021,239,100,66,133,2,4,FALSE,16,7,9,3,7,26,6.5,0.830357143
Anthony Cannon,2006,LB,det,7,247,tulane,1,0,,,,,,,,,,,,,,,28,0,1,2.8,0,0.1,28,0,,,,,21,2008,32,3,3,3,0,0,FALSE,0,1,1,1,0,3,0.75,0.311608961
Anthony Fasano,2006,TE,dal,2,53,notre dame,1,1,4.72,33.5,19,112,6.94,4.34,1,1,1,1,1,1,76,259,576,2,47,48,0.166666667,3.916666667,12.25531915,0.042553191,,,,,22,2017,180,22,2,28,0,0,FALSE,8,1,2,4,3,10,2.5,0.750929368
Anthony Montgomery,2006,DL,was,5,153,minnesota,1,0,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,22,2009,42,14,14,14,0,0,FALSE,1,1,8,4,1,14,3.5,0.571428571
Anthony Schlegel,2006,LB,nyj,3,76,ohio st.,1,1,4.88,32,21,111,7.41,4.38,1,1,1,1,1,1,72,250,0,0,0,0,0,0,,,,,,,25,2007,17,2,0,2,0,0,FALSE,0,0,2,0,0,2,0.5,0.240325866
Anthony Smith,2006,DB,pit,3,83,syracuse,1,1,4.71,41,18,125,6.75,4.35,1,1,1,1,1,1,72,194,0,0,0,0,0,0,,,,,,,22,2011,76,12,9,13,0,0,FALSE,1,3,5,1,2,11,2.75,0.659836066
Antoine Bethea,2006,DB,ind,6,207,howard,0,1,4.39,36.5,19,127,6.99,4.11,1,1,1,1,1,1,71,203,0,0,0,,,,,,,,,,22,2019,209,63,40,85,0,3,FALSE,12,5,9,7,8,29,7.25,0.959016393
Antonio Cromartie,2006,DB,sdg,1,19,florida st.,0,1,4.47,38,18,132,,,1,1,1,1,0,0,74,208,0,0,0,,,,,,,,,,22,2016,162,66,26,79,1,4,FALSE,8,1,16,6,7,30,7.5,0.965163934
Ashton Youboty,2006,DB,buf,3,70,ohio st.,1,1,4.44,,,,,,1,0,0,0,0,0,72,189,0,0,0,0,0,0,,,,,,,22,2011,49,8,5,9,0,0,FALSE,0,1,2,1,1,5,1.25,0.433743169
Babatunde Oshinowo,2006,DL,cle,6,181,stanford,0,1,5.27,32,33,105,7.87,4.54,1,1,1,1,1,1,74,304,0,0,0,,,,,,,,,,23,2007,2,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0.061643836
Barry Cofield,2006,DL,nyg,4,124,northwestern,1,1,4.95,34,35,105,7.43,4.35,1,1,1,1,1,1,76,304,0,0,0,0,0,0,,,,,,,22,2015,138,46,30,55,0,0,FALSE,8,6,7,8,5,26,6.5,0.891780822
Ben Obomanu,2006,WR,sea,7,249,auburn,1,1,4.45,38,,116,7.17,4.21,1,1,0,1,1,1,73,205,504,7,40,42,0.583333333,3.333333333,12.6,0.175,,,,,22,2013,69,10,10,10,0,0,FALSE,0,0,1,0,0,1,0.25,0.280762565
Bernard Pollard,2006,DB,kan,2,54,purdue,1,1,4.57,36.5,,131,,,1,1,0,1,0,0,74,224,0,0,0,0,0,0,,,,,,,21,2014,126,34,11,40,0,0,FALSE,7,1,6,5,6,18,4.5,0.816256831
Bobby Carpenter,2006,LB,dal,1,18,ohio st.,1,1,4.65,,,,,,1,0,0,0,0,0,74,256,0,0,0,0,0,0,,,,,,,23,2012,93,11,5,12,0,0,FALSE,0,1,1,1,3,6,1.5,0.458248473
Brad Butler,2006,OL,buf,5,143,virginia,1,1,5.29,,,,,,1,0,0,0,0,0,79,310,0,0,0,0,0,0,,,,,,,22,2009,33,13,13,13,0,0,FALSE,2,0,6,6,1,13,3.25,0.56547619
Brad Smith,2006,QB,nyj,4,103,missouri,1,0,4.46,39.5,,128,7,4.33,1,1,0,1,1,1,74,213,3608,29,629,300.6666667,2.416666667,52.41666667,5.73608903,0.046104928,,,,,22,2014,127,17,12,20,0,0,FALSE,1,1,3,2,3,9,2.25,0.66359447
Brandon Johnson,2006,LB,ari,5,142,louisville,1,1,4.44,37,11,118,7.17,4.34,1,1,1,1,1,1,77,228,0,0,0,0,0,0,,,,,,,23,2012,87,13,0,14,0,0,FALSE,1,0,0,5,3,8,2,0.530549898
Brandon Marshall,2006,WR,den,4,119,central florida,1,1,4.52,37,,120,,,1,1,0,1,0,0,76,229,1198,11,75,92.15384615,0.846153846,5.769230769,15.97333333,0.146666667,,,,,22,2018,179,83,27,135,1,6,FALSE,10,3,12,11,9,35,8.75,0.957538995
Brandon Williams,2006,WR,sfo,3,84,wisconsin,1,1,4.48,34.5,,115,6.87,4.07,1,1,0,1,1,1,69,179,1142,6,67,87.84615385,0.461538462,5.153846154,17.04477612,0.089552239,,,,,22,2007,23,0,0,54,0,0,FALSE,0,0,0,0,0,0,0,0.1152513
Brent Hawkins,2006,DL,jax,5,160,illinois st.,0,0,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,23,2007,20,3,3,3,0,0,FALSE,0,1,2,0,0,3,0.75,0.32630273
Brian Calhoun,2006,RB,det,3,74,wisconsin,1,1,4.57,31.5,18,124,7.05,4.2,1,1,1,1,1,1,69,201,2207,24,402,169.7692308,1.846153846,30.92307692,5.490049751,0.059701493,,,,,22,2007,11,1,1,1,0,0,FALSE,0,0,1,0,0,1,0.25,0.216397849
Brodie Croyle,2006,QB,kan,3,85,alabama,1,1,4.88,30.5,,104,7.34,4.25,1,1,0,1,1,1,74,205,2343,15,403,195.25,1.25,33.58333333,5.813895782,0.037220844,,,,,23,2010,18,2,2,2,0,0,FALSE,0,0,1,0,1,2,0.5,0.451612903
Brodrick Bunkley,2006,DL,phi,1,14,florida st.,1,1,5.01,32.5,44,113,,,1,1,1,1,0,0,75,306,0,0,0,0,0,0,,,,,,,22,2014,130,40,25,47,0,0,FALSE,7,1,8,9,6,24,6,0.871232877
Bruce Gradkowski,2006,QB,tam,6,194,toledo,1,1,4.59,34,,107,7.12,4.16,1,1,0,1,1,1,73,217,2760,33,393,250.9090909,3,35.72727273,7.022900763,0.083969466,,,,,23,2014,37,8,3,8,0,0,FALSE,1,2,1,0,3,6,1.5,0.617511521
Calvin Lowry,2006,DB,ten,4,102,penn st.,1,1,4.54,36,15,120,7.16,4.2,1,1,1,1,1,1,71,200,0,0,0,0,0,0,,,,,,,23,2008,43,7,6,7,0,0,FALSE,0,1,5,1,0,7,1.75,0.534836066
Cedric Griffin,2006,DB,min,2,48,texas,1,1,4.51,35.5,17,125,6.84,4.1,1,1,1,1,1,1,72,199,0,0,0,0,0,0,,,,,,,23,2012,89,23,23,26,0,0,FALSE,4,4,6,5,6,21,5.25,0.87568306
Chad Greenway,2006,LB,min,1,17,iowa,1,1,4.76,33.5,16,117,7,4.22,1,1,1,1,1,1,74,242,0,0,0,0,0,0,,,,,,,23,2016,156,66,66,82,0,2,FALSE,10,0,9,9,9,27,6.75,0.891038697
Chad Jackson,2006,WR,nwe,2,36,florida,1,1,4.32,38.5,,122,6.73,3.97,1,1,0,1,1,1,73,213,989,11,104,82.41666667,0.916666667,8.666666667,9.509615385,0.105769231,,,,,21,2008,18,2,2,2,0,0,FALSE,0,2,0,0,0,2,0.5,0.363084922
Charles Bennett,2006,LB,tam,7,241,clemson,1,0,4.7,33.5,19,115,7.48,4.52,1,1,1,1,1,1,76,258,0,0,0,0,0,0,,,,,,,23,2006,3,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0.061099796
Charles Spencer,2006,OL,hou,3,65,pittsburgh,1,1,5.25,,30,,,,1,0,1,0,0,0,77,352,0,0,0,0,0,0,,,,,,,24,2006,2,1,1,1,0,0,FALSE,0,1,0,0,0,1,0.25,0.204166667
Charlie Johnson,2006,OL,ind,6,199,oklahoma st.,1,0,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,22,2014,134,52,30,62,0,0,FALSE,7,2,7,10,7,26,6.5,0.830357143
Charlie Peprah,2006,DB,nyg,5,158,alabama,1,1,4.66,37.5,15,119,6.81,4.09,1,1,1,1,1,1,71,206,0,0,0,0,0,0,,,,,,,23,2012,74,12,,13,0,0,FALSE,2,0,1,1,0,2,0.5,0.243169399
Charlie Whitehurst,2006,QB,sdg,3,81,clemson,1,1,4.75,33,,112,7,4.11,1,1,0,1,1,1,77,223,2509,14,390,228.0909091,1.272727273,35.45454545,6.433333333,0.035897436,,,,,24,2016,25,7,0,7,0,0,FALSE,0,0,0,0,0,0,0,0.161290323
Chase Page,2006,DL,sdg,7,225,north carolina,1,0,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,23,2007,6,0,,0,0,0,FALSE,0,0,0,0,0,0,0,0.061643836
Chris Chester,2006,OL,bal,2,56,oklahoma,1,1,4.83,31.5,27,106,7.31,4.5,1,1,1,1,1,1,75,303,0,0,0,0,0,0,,,,,,,23,2016,169,59,18,73,0,0,FALSE,9,2,3,5,7,17,4.25,0.68125
Chris Gocong,2006,DL,phi,3,71,cal poly-san luis obispo,0,1,4.7,38.5,28,123,7.05,4.08,1,1,1,1,1,1,74,263,0,0,0,,,,,,,,,,22,2011,79,29,15,32,0,0,FALSE,5,0,6,7,4,17,4.25,0.748138958
Chris Kuper,2006,OL,den,5,161,north dakota,0,1,5.1,30,24,109,7.59,4.6,1,1,1,1,1,1,76,301,0,0,0,,,,,,,,,,23,2013,90,35,35,39,0,0,FALSE,5,0,6,9,7,22,5.5,0.797916667
Chris Morris,2006,OL,oak,7,214,michigan st.,0,0,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,23,2010,51,5,5,5,0,0,FALSE,1,0,1,1,3,5,1.25,0.294392523
Claude Wroten,2006,DL,stl,3,68,lsu,1,1,5.08,,,,,,1,0,0,0,0,0,74,302,0,0,0,0,0,0,,,,,,,22,2007,26,2,2,2,0,0,FALSE,0,1,1,0,0,2,0.5,0.219178082
Clint Ingram,2006,LB,jax,3,80,oklahoma,1,1,4.65,41,22,,7.12,4.1,1,1,1,0,1,1,74,244,0,0,0,0,0,0,,,,,,,23,2009,56,21,21,23,0,0,FALSE,3,7,6,5,5,23,5.75,0.83095723
Cortland Finnegan,2006,DB,ten,7,215,samford,1,0,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,22,2015,133,53,43,60,1,1,FALSE,7,2,6,20,5,33,8.25,0.977459016
D'Brickashaw Ferguson,2006,OL,nyj,1,4,virginia,0,1,5.08,,,,,,1,0,0,0,0,0,78,312,0,0,0,,,,,,,,,,22,2015,160,58,58,73,0,3,FALSE,10,9,7,8,8,32,8,0.913690476
D'Qwell Jackson,2006,LB,cle,2,34,maryland,1,1,4.73,37,19,116,7.05,4.36,1,1,1,1,1,1,72,230,0,0,0,0,0,0,,,,,,,22,2016,141,61,40,75,0,1,FALSE,9,6,6,9,3,24,6,0.847250509
Danieal Manning,2006,DB,chi,2,42,abilene christian,0,1,4.48,39,17,123,7.23,4.07,1,1,1,1,1,1,71,202,0,0,0,,,,,,,,,,24,2014,128,35,21,42,0,0,FALSE,6,6,6,3,4,19,4.75,0.842213115
