player_name,player_name_clean,draft_year,position,position_group,school,draft_team,draft_round,draft_pick,hof,category,side,age,to,allpro,probowls,seasons_started,w_av,dr_av,games,pass_completions,pass_attempts,pass_yards,pass_tds,pass_ints,rush_atts,rush_yards,rush_tds,receptions,rec_yards,rec_tds,def_solo_tackles,def_ints,def_sacks,AV_year1,AV_year2,AV_year3,AV_year4,AV_4yr_sum,AV_4yr_avg,AV_4yr_avg_percentile,car_av_filled
Aaron Shea,aaron shea,2000,TE,TE,michigan,cle,4,110,False,TE,O,23.0,2005.0,0,0,0,6.0,6.0,65.0,0,0,0,0,0,0,0,0,97,851,7,13,0,0.0,2,1,0,0,3,0.75,0.518587361,6
Adalius Thomas,adalius thomas,2000,LB,LB,southern miss,bal,6,186,False,LB,D,23.0,2009.0,1,2,8,65.0,53.0,135.0,0,0,0,0,0,0,0,0,0,0,0,411,7,53.0,0,3,8,8,19,4.75,0.767820774,76
Adrian Klemm,adrian klemm,2000,OG,OL,hawaii,nwe,2,46,False,OL,O,23.0,2005.0,0,0,0,10.0,6.0,42.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,3,1,6,1.5,0.414583333,10
Ahmed Plummer,ahmed plummer,2000,DB,DB,ohio st.,sfo,1,24,False,DB,D,24.0,2005.0,0,0,5,24.0,24.0,70.0,0,0,0,0,0,0,0,0,0,0,0,269,12,0.0,4,8,5,6,23,5.75,0.910519126,26
Alfonso Boone,alfonso boone,2000,DT,DL,mount san antonio jc,det,7,253,False,DL,D,24.0,2010.0,0,0,1,23.0,,129.0,0,0,0,0,0,0,0,0,0,0,0,154,0,15.5,0,2,3,3,8,2.0,0.532876712,27
Alvin McKinley,alvin mckinley,2000,DE,DL,mississippi st.,car,4,120,False,DL,D,22.0,2007.0,0,0,3,22.0,1.0,97.0,0,0,0,0,0,0,0,0,0,0,0,146,0,11.5,1,1,1,1,4,1.0,0.370967742,24
Anthony Becht,anthony becht,2000,TE,TE,west virginia,nyj,1,27,False,TE,O,23.0,2011.0,0,0,9,12.0,10.0,167.0,0,0,0,0,0,0,0,0,188,1537,21,6,0,0.0,1,3,3,3,10,2.5,0.750929368,14
Anthony Malbrough,anthony malbrough,2000,DB,DB,texas tech,cle,5,130,False,DB,D,23.0,2000.0,0,0,0,1.0,1.0,9.0,0,0,0,0,0,0,0,0,0,0,0,21,0,0.0,1,0,0,0,1,0.25,0.164617486,1
Antonio Wilson,antonio wilson,2000,LB,LB,texas aandm-commerce,min,4,106,False,LB,D,22.0,2002.0,0,0,0,2.0,2.0,16.0,0,0,0,0,0,0,0,0,0,0,0,14,0,0.0,0,1,1,0,2,0.5,0.240325866,2
Antwan Harris,antwan harris,2000,DB,DB,virginia,nwe,6,187,False,DB,D,23.0,2003.0,0,0,0,5.0,5.0,52.0,0,0,0,0,0,0,0,0,0,0,0,37,1,1.0,2,1,1,1,5,1.25,0.433743169,5
