player_name,player_name_clean,draft_year,college_season,position,position_group,school,countable_plays,avg_ppa_all,total_ppa_all,total_ppa_pass,total_ppa_rush,career_avg_ppa,career_total_ppa,ppa_per_play,pass_ppa_share,rush_ppa_share
Aaron Murray,aaron murray,2014,2013,QB,QB,georgia,352.0,0.336,118.289,107.423,10.866,0.336,118.289,0.3360482954545454,0.9081402328196198,0.0918597671803802
Aj Mccarron,aj mccarron,2014,2013,QB,QB,alabama,320.0,0.295,94.326,88.052,6.274,0.295,94.326,0.2947687499999999,0.9334859953777328,0.0665140046222674
Alfred Blue,alfred blue,2014,2013,RB,RB,lsu,75.0,0.038,2.884,6.479,-3.595,0.038,2.884,0.0384533333333333,1.0,0.0
Allen Robinson,allen robinson,2014,2013,WR,WR,penn state,99.0,0.996,98.584,95.57,3.014,0.996,98.584,0.9957979797979798,0.9694270875598472,0.0305729124401525
Andre Williams,andre williams,2014,2013,RB,RB,boston college,323.0,-0.014,-4.485,0.0,-4.485,-0.014,-4.485,-0.0138854489164086,-0.0,1.0
Arthur Lynch,arthur lynch,2014,2013,TE,TE,georgia,28.0,1.144,32.036,32.036,0.0,1.144,32.036,1.1441428571428571,1.0,0.0
Austin Seferian-Jenkins,austin seferianjenkins,2014,2013,TE,TE,washington,26.0,1.297,33.716,33.716,0.0,1.297,33.716,1.296769230769231,1.0,0.0
Blake Bortles,blake bortles,2014,2013,QB,QB,ucf,406.0,0.387,157.155,125.959,31.196,0.387,157.155,0.3870812807881773,0.8014953389965321,0.1985046610034679
Brandin Cooks,brandin cooks,2014,2013,WR,WR,oregon state,142.0,0.799,113.529,108.397,5.132,0.799,113.529,0.7995,0.9547956909688274,0.0452043090311726
C.J. Fiedorowicz,cj fiedorowicz,2014,2013,TE,TE,iowa,25.0,0.994,24.857,24.857,0.0,0.994,24.857,0.99428,1.0,0.0
Carlos Hyde,carlos hyde,2014,2013,RB,RB,ohio state,207.0,0.306,63.25,5.726,57.524,0.306,63.25,0.3055555555555556,0.0905296442687747,0.9094703557312254
Cody Latimer,cody latimer,2014,2013,WR,WR,indiana,65.0,1.125,73.117,73.117,0.0,1.125,73.117,1.124876923076923,1.0,0.0
